Kinetik Holdings Quarterly Net Income (Millions of US $),Kinetik Holdings Quarterly Net Income (Millions of US $).1
2024-06-30,$37
2024-03-31,$12
2023-12-31,$230
2023-09-30,$16
2023-06-30,$25
2023-03-31,$1
2022-12-31,$36
2022-09-30,$15
2022-06-30,$6
2022-03-31,$4
2021-12-31,$-31
2021-09-30,
2021-06-30,
2021-03-31,
2020-12-31,$9
2020-09-30,$3
2020-06-30,$-1
2020-03-31,$-8
2019-12-31,$-352
2019-09-30,$-5
2019-06-30,$-2
2019-03-31,$1
2018-12-31,$1
2018-09-30,$19
2018-06-30,$-12
2018-03-31,$-13
2017-12-31,$-18
2017-09-30,$0
2017-06-30,$-1
2017-03-31,
2016-12-31,
2016-09-30,$-1
