Greif Quarterly Net Income (Millions of US $),Greif Quarterly Net Income (Millions of US $).1
2024-07-31,$57
2024-04-30,$44
2024-01-31,$67
2023-10-31,$-20
2023-07-31,$62
2023-04-30,$111
2023-01-31,$90
2022-10-31,$70
2022-07-31,$114
2022-04-30,$98
2022-01-31,$-17
2021-10-31,$77
2021-07-31,$87
2021-04-30,$124
2021-01-31,$-3
2020-10-31,$18
2020-07-31,$-6
2020-04-30,$-15
2020-01-31,$6
2019-10-31,$39
2019-07-31,$37
2019-04-30,$-13
2019-01-31,$4
2018-10-31,$14
2018-07-31,$43
2018-04-30,$20
2018-01-31,$32
2017-10-31,$9
2017-07-31,$19
2017-04-30,$11
2017-01-31,$-19
2016-10-31,$-16
2016-07-31,$21
2016-04-30,$7
2016-01-31,$-36
2015-10-31,$-12
2015-07-31,$-16
2015-04-30,$-4
2015-01-31,$6
2014-10-31,$-16
2014-07-31,$-11
2014-04-30,$14
2014-01-31,$6
2013-10-31,$10
2013-07-31,$22
2013-04-30,$16
2013-01-31,$-1
2012-10-31,$-5
2012-07-31,$13
2012-04-30,$15
2012-01-31,$-3
2011-10-31,$-9
2011-07-31,$42
2011-04-30,$26
2011-01-31,$17
2010-10-31,$-24
2010-07-31,$66
2010-04-30,$43
2010-01-31,$25
2009-10-31,$-14
2009-07-31,$38
2009-04-30,$2
2009-01-31,$-2
