Elastic Quarterly Net Income (Millions of US $),Elastic Quarterly Net Income (Millions of US $).1
2024-07-31,$-49
2024-04-30,$-41
2024-01-31,$176
2023-10-31,$-25
2023-07-31,$-49
2023-04-30,$-47
2023-01-31,$-73
2022-10-31,$-47
2022-07-31,$-70
2022-04-30,$-66
2022-01-31,$-57
2021-10-31,$-47
2021-07-31,$-34
2021-04-30,$-43
2021-01-31,$-38
2020-10-31,$-29
2020-07-31,$-19
2020-04-30,$-31
2020-01-31,$-44
2019-10-31,$-50
2019-07-31,$-42
2019-04-30,$-35
2019-01-31,$-21
2018-10-31,$-28
2018-07-31,$-19
2018-04-30,
2018-01-31,$-13
2017-10-31,$-8
2017-04-30,
