California Water Service Group Quarterly Net Income (Millions of US $),California Water Service Group Quarterly Net Income (Millions of US $).1
2024-06-30,$41
2024-03-31,$70
2023-12-31,$30
2023-09-30,$34
2023-06-30,$10
2023-03-31,$-22
2022-12-31,$20
2022-09-30,$56
2022-06-30,$19
2022-03-31,$1
2021-12-31,$4
2021-09-30,$62
2021-06-30,$38
2021-03-31,$-3
2020-12-31,$15
2020-09-30,$96
2020-06-30,$5
2020-03-31,$-20
2019-12-31,$11
2019-09-30,$42
2019-06-30,$17
2019-03-31,$-8
2018-12-31,$15
2018-09-30,$36
2018-06-30,$15
2018-03-31,$-1
2017-12-31,$19
2017-09-30,$34
2017-06-30,$19
2017-03-31,$1
2016-12-31,$15
2016-09-30,$23
2016-06-30,$12
2016-03-31,$-1
2015-12-31,$8
2015-09-30,$25
2015-06-30,$10
2015-03-31,$2
2014-12-31,$11
2014-09-30,$34
2014-06-30,$17
2014-03-31,$-5
2013-12-31,$6
2013-09-30,$29
2013-06-30,$14
2013-03-31,$-1
2012-12-31,$5
2012-09-30,$30
2012-06-30,$13
2012-03-31,$1
2011-12-31,$2
2011-09-30,$21
2011-06-30,$12
2011-03-31,$3
2010-12-31,$5
2010-09-30,$20
2010-06-30,$10
2010-03-31,$2
2009-12-31,$6
2009-09-30,$20
2009-06-30,$12
2009-03-31,$2
