Markel Group Quarterly Net Income (Millions of US $),Markel Group Quarterly Net Income (Millions of US $).1
2024-06-30,$250
2024-03-31,"$1,025"
2023-12-31,$751
2023-09-30,$43
2023-06-30,$678
2023-03-31,$489
2022-12-31,$674
2022-09-30,$60
2022-06-30,$-934
2022-03-31,$-52
2021-12-31,$851
2021-09-30,$188
2021-06-30,$774
2021-03-31,$574
2020-12-31,$829
2020-09-30,$453
2020-06-30,$922
2020-03-31,"$-1,406"
2019-12-31,$511
2019-09-30,$206
2019-06-30,$497
2019-03-31,$576
2018-12-31,$-752
2018-09-30,$409
2018-06-30,$278
2018-03-31,$-64
2017-12-31,$435
2017-09-30,$-259
2017-06-30,$150
2017-03-31,$70
2016-12-31,$133
2016-09-30,$84
2016-06-30,$79
2016-03-31,$160
2015-12-31,$198
2015-09-30,$103
2015-06-30,$91
2015-03-31,$191
2014-12-31,$118
2014-09-30,$76
2014-06-30,$40
2014-03-31,$88
2013-12-31,$99
2013-09-30,$66
2013-06-30,$28
2013-03-31,$89
2012-12-31,$57
2012-09-30,$50
2012-06-30,$90
2012-03-31,$57
2011-12-31,$50
2011-09-30,$53
2011-06-30,$30
2011-03-31,$8
2010-12-31,$140
2010-09-30,$63
2010-06-30,$21
2010-03-31,$43
2009-12-31,$93
2009-09-30,$59
2009-06-30,$33
2009-03-31,$16
