WESCO Quarterly Net Income (Millions of US $),WESCO Quarterly Net Income (Millions of US $).1
2024-06-30,$218
2024-03-31,$101
2023-12-31,$128
2023-09-30,$219
2023-06-30,$179
2023-03-31,$183
2022-12-31,$205
2022-09-30,$225
2022-06-30,$206
2022-03-31,$167
2021-12-31,$153
2021-09-30,$105
2021-06-30,$105
2021-03-31,$45
2020-12-31,$6
2020-09-30,$66
2020-06-30,$-36
2020-03-31,$34
2019-12-31,$53
2019-09-30,$64
2019-06-30,$63
2019-03-31,$42
2018-12-31,$58
2018-09-30,$67
2018-06-30,$58
2018-03-31,$44
2017-12-31,$23
2017-09-30,$54
2017-06-30,$50
2017-03-31,$38
2016-12-31,$47
2016-09-30,$-32
2016-06-30,$50
2016-03-31,$36
2015-12-31,$48
2015-09-30,$64
2015-06-30,$52
2015-03-31,$47
2014-12-31,$74
2014-09-30,$81
2014-06-30,$69
2014-03-31,$52
2013-12-31,$58
2013-09-30,$69
2013-06-30,$65
2013-03-31,$84
2012-12-31,$27
2012-09-30,$63
2012-06-30,$59
2012-03-31,$53
2011-12-31,$55
2011-09-30,$54
2011-06-30,$50
2011-03-31,$37
2010-12-31,$35
2010-09-30,$34
2010-06-30,$28
2010-03-31,$19
2009-12-31,$22
2009-09-30,$34
2009-06-30,$26
2009-03-31,$23
