Arista Networks Quarterly Net Income (Millions of US $),Arista Networks Quarterly Net Income (Millions of US $).1
2024-06-30,$665
2024-03-31,$638
2023-12-31,$614
2023-09-30,$545
2023-06-30,$492
2023-03-31,$436
2022-12-31,$427
2022-09-30,$354
2022-06-30,$299
2022-03-31,$272
2021-12-31,$239
2021-09-30,$224
2021-06-30,$197
2021-03-31,$180
2020-12-31,$183
2020-09-30,$168
2020-06-30,$145
2020-03-31,$138
2019-12-31,$261
2019-09-30,$209
2019-06-30,$189
2019-03-31,$201
2018-12-31,$170
2018-09-30,$168
2018-06-30,$-155
2018-03-31,$144
2017-12-31,$104
2017-09-30,$134
2017-06-30,$102
2017-03-31,$83
2016-12-31,$58
2016-09-30,$51
2016-06-30,$39
2016-03-31,$35
2015-12-31,$43
2015-09-30,$28
2015-06-30,$24
2015-03-31,$24
2014-12-31,$27
2014-09-30,$21
2014-06-30,$14
2014-03-31,$6
2013-12-31,$14
2013-09-30,$6
2013-06-30,$5
2013-03-31,$3
2012-12-31,
2011-12-31,
