C3.ai Quarterly Net Income (Millions of US $),C3.ai Quarterly Net Income (Millions of US $).1
2024-07-31,$-63
2024-04-30,$-73
2024-01-31,$-73
2023-10-31,$-70
2023-07-31,$-64
2023-04-30,$-65
2023-01-31,$-63
2022-10-31,$-69
2022-07-31,$-72
2022-04-30,$-58
2022-01-31,$-39
2021-10-31,$-57
2021-07-31,$-37
2021-04-30,$-24
2021-01-31,$-17
2020-10-31,$-15
2020-07-31,$0
2020-04-30,
2020-01-31,$-10
2019-04-30,
