SM Energy Quarterly Net Income (Millions of US $),SM Energy Quarterly Net Income (Millions of US $).1
2024-06-30,$210
2024-03-31,$131
2023-12-31,$247
2023-09-30,$222
2023-06-30,$150
2023-03-31,$199
2022-12-31,$258
2022-09-30,$481
2022-06-30,$323
2022-03-31,$49
2021-12-31,$425
2021-09-30,$86
2021-06-30,$-223
2021-03-31,$-251
2020-12-31,$-165
2020-09-30,$-98
2020-06-30,$-89
2020-03-31,$-412
2019-12-31,$-102
2019-09-30,$42
2019-06-30,$50
2019-03-31,$-178
2018-12-31,$310
2018-09-30,$-136
2018-06-30,$17
2018-03-31,$317
2017-12-31,$-26
2017-09-30,$-89
2017-06-30,$-120
2017-03-31,$74
2016-12-31,$-201
2016-09-30,$-41
2016-06-30,$-169
2016-03-31,$-347
2015-12-31,$-340
2015-09-30,$3
2015-06-30,$-58
2015-03-31,$-53
2014-12-31,$332
2014-09-30,$209
2014-06-30,$60
2014-03-31,$66
2013-12-31,$7
2013-09-30,$71
2013-06-30,$77
2013-03-31,$17
2012-12-31,$-67
2012-09-30,$-38
2012-06-30,$25
2012-03-31,$26
2011-12-31,$-121
2011-09-30,$230
2011-06-30,$125
2011-03-31,$-19
2010-12-31,$37
2010-09-30,$15
2010-06-30,$18
2010-03-31,$126
2009-12-31,$1
2009-09-30,$-4
2009-06-30,$-8
2009-03-31,$-88
