Arcus Biosciences Quarterly Net Income (Millions of US $),Arcus Biosciences Quarterly Net Income (Millions of US $).1
2024-06-30,$-93
2024-03-31,$-4
2023-12-31,$-81
2023-09-30,$-71
2023-06-30,$-75
2023-03-31,$-80
2022-12-31,$-67
2022-09-30,$-65
2022-06-30,$-67
2022-03-31,$-68
2021-12-31,$280
2021-09-30,$-78
2021-06-30,$-76
2021-03-31,$-73
2020-12-31,$-52
2020-09-30,$2
2020-06-30,$-45
2020-03-31,$-28
2019-12-31,$-17
2019-09-30,$-22
2019-06-30,$-28
2019-03-31,$-18
2018-12-31,$-12
2018-09-30,$-11
2018-06-30,$-14
2018-03-31,$-13
2017-12-31,$-13
2017-09-30,$-23
2017-06-30,$-10
2017-03-31,$-7
2016-12-31,
