Hub Quarterly Net Income (Millions of US $),Hub Quarterly Net Income (Millions of US $).1
2024-06-30,$29
2024-03-31,$27
2023-12-31,$29
2023-09-30,$30
2023-06-30,$47
2023-03-31,$62
2022-12-31,$79
2022-09-30,$87
2022-06-30,$103
2022-03-31,$88
2021-12-31,$84
2021-09-30,$43
2021-06-30,$27
2021-03-31,$17
2020-12-31,$22
2020-09-30,$25
2020-06-30,$13
2020-03-31,$13
2019-12-31,$28
2019-09-30,$26
2019-06-30,$29
2019-03-31,$24
2018-12-31,$49
2018-09-30,$115
2018-06-30,$22
2018-03-31,$16
2017-12-31,$100
2017-09-30,$15
2017-06-30,$10
2017-03-31,$10
2016-12-31,$18
2016-09-30,$18
2016-06-30,$21
2016-03-31,$18
2015-12-31,$22
2015-09-30,$20
2015-06-30,$18
2015-03-31,$10
2014-12-31,$16
2014-09-30,$4
2014-06-30,$19
2014-03-31,$12
2013-12-31,$17
2013-09-30,$19
2013-06-30,$19
2013-03-31,$15
2012-12-31,$19
2012-09-30,$18
2012-06-30,$17
2012-03-31,$14
2011-12-31,$17
2011-09-30,$16
2011-06-30,$14
2011-03-31,$10
2010-12-31,$13
2010-09-30,$13
2010-06-30,$10
2010-03-31,$9
2009-12-31,$10
2009-09-30,$10
2009-06-30,$8
2009-03-31,$6
