Diodes Quarterly Net Income (Millions of US $),Diodes Quarterly Net Income (Millions of US $).1
2024-06-30,$8
2024-03-31,$14
2023-12-31,$25
2023-09-30,$49
2023-06-30,$82
2023-03-31,$71
2022-12-31,$92
2022-09-30,$86
2022-06-30,$80
2022-03-31,$73
2021-12-31,$66
2021-09-30,$68
2021-06-30,$55
2021-03-31,$39
2020-12-31,$30
2020-09-30,$27
2020-06-30,$21
2020-03-31,$20
2019-12-31,$47
2019-09-30,$38
2019-06-30,$36
2019-03-31,$32
2018-12-31,$30
2018-09-30,$31
2018-06-30,$25
2018-03-31,$19
2017-12-31,$-31
2017-09-30,$14
2017-06-30,$13
2017-03-31,$1
2016-12-31,$1
2016-09-30,$11
2016-06-30,$6
2016-03-31,$-2
2015-12-31,$-5
2015-09-30,$3
2015-06-30,$15
2015-03-31,$11
2014-12-31,$17
2014-09-30,$19
2014-06-30,$17
2014-03-31,$10
2013-12-31,$6
2013-09-30,$14
2013-06-30,$9
2013-03-31,$-2
2012-12-31,$4
2012-09-30,$9
2012-06-30,$7
2012-03-31,$5
2011-12-31,$3
2011-09-30,$10
2011-06-30,$18
2011-03-31,$20
2010-12-31,$24
2010-09-30,$21
2010-06-30,$17
2010-03-31,$15
2009-12-31,$14
2009-09-30,$7
2009-06-30,$-3
2009-03-31,$-11
