Synchrony Financial Quarterly Net Income (Millions of US $),Synchrony Financial Quarterly Net Income (Millions of US $).1
2024-06-30,$624
2024-03-31,"$1,282"
2023-12-31,$429
2023-09-30,$618
2023-06-30,$559
2023-03-31,$590
2022-12-31,$567
2022-09-30,$692
2022-06-30,$793
2022-03-31,$922
2021-12-31,$803
2021-09-30,"$1,130"
2021-06-30,"$1,232"
2021-03-31,"$1,014"
2020-12-31,$728
2020-09-30,$303
2020-06-30,$37
2020-03-31,$275
2019-12-31,$731
2019-09-30,"$1,056"
2019-06-30,$853
2019-03-31,"$1,107"
2018-12-31,$783
2018-09-30,$671
2018-06-30,$696
2018-03-31,$640
2017-12-31,$385
2017-09-30,$555
2017-06-30,$496
2017-03-31,$499
2016-12-31,$576
2016-09-30,$604
2016-06-30,$489
2016-03-31,$582
2015-12-31,$547
2015-09-30,$574
2015-06-30,$541
2015-03-31,$552
2014-12-31,$531
2014-09-30,$548
2014-06-30,$472
2014-03-31,$558
2013-12-31,$443
2013-09-30,$641
2013-06-30,$536
2013-03-31,$359
2012-12-31,
2011-12-31,
