Live Nation Entertainment Quarterly Net Income (Millions of US $),Live Nation Entertainment Quarterly Net Income (Millions of US $).1
2024-06-30,$241
2024-03-31,$-122
2023-12-31,$-347
2023-09-30,$483
2023-06-30,$237
2023-03-31,$-58
2022-12-31,$-350
2022-09-30,$361
2022-06-30,$188
2022-03-31,$-50
2021-12-31,$-210
2021-09-30,$43
2021-06-30,$-195
2021-03-31,$-308
2020-12-31,$-436
2020-09-30,$-522
2020-06-30,$-566
2020-03-31,$-199
2019-12-31,$-185
2019-09-30,$155
2019-06-30,$90
2019-03-31,$-65
2018-12-31,$-171
2018-09-30,$152
2018-06-30,$52
2018-03-31,$-50
2017-12-31,$-230
2017-09-30,$115
2017-06-30,$63
2017-03-31,$-46
2016-12-31,$-131
2016-09-30,$103
2016-06-30,$26
2016-03-31,$-45
2015-12-31,$-98
2015-09-30,$79
2015-06-30,$15
2015-03-31,$-62
2014-12-31,$-192
2014-09-30,$105
2014-06-30,$23
2014-03-31,$-32
2013-12-31,$-83
2013-09-30,$44
2013-06-30,$58
2013-03-31,$-63
2012-12-31,$-160
2012-09-30,$58
2012-06-30,$8
2012-03-31,$-69
2011-12-31,$-100
2011-09-30,$52
2011-06-30,$13
2011-03-31,$-48
2010-12-31,$-124
2010-09-30,$51
2010-06-30,$-33
2010-03-31,$-122
2009-12-31,$0
2009-09-30,$69
2009-06-30,$-27
2009-03-31,$-103
