Franklin Electric Quarterly Net Income (Millions of US $),Franklin Electric Quarterly Net Income (Millions of US $).1
2024-06-30,$59
2024-03-31,$33
2023-12-31,$38
2023-09-30,$58
2023-06-30,$60
2023-03-31,$37
2022-12-31,$39
2022-09-30,$58
2022-06-30,$59
2022-03-31,$30
2021-12-31,$40
2021-09-30,$46
2021-06-30,$39
2021-03-31,$28
2020-12-31,$26
2020-09-30,$38
2020-06-30,$25
2020-03-31,$11
2019-12-31,$19
2019-09-30,$34
2019-06-30,$33
2019-03-31,$9
2018-12-31,$24
2018-09-30,$30
2018-06-30,$30
2018-03-31,$21
2017-12-31,$8
2017-09-30,$24
2017-06-30,$30
2017-03-31,$16
2016-12-31,$16
2016-09-30,$24
2016-06-30,$24
2016-03-31,$13
2015-12-31,$15
2015-09-30,$21
2015-06-30,$16
2015-03-31,$19
2014-12-31,$2
2014-09-30,$23
2014-06-30,$27
2014-03-31,$17
2013-12-31,$13
2013-09-30,$25
2013-06-30,$28
2013-03-31,$15
2012-12-31,$13
2012-09-30,$22
2012-06-30,$25
2012-03-31,$23
2011-12-31,$11
2011-09-30,$19
2011-06-30,$21
2011-03-31,$11
2010-12-31,$8
2010-09-30,$12
2010-06-30,$11
2010-03-31,$7
2009-12-31,$5
2009-09-30,$9
2009-06-30,$6
2009-03-31,$4
