Welltower Quarterly Net Income (Millions of US $),Welltower Quarterly Net Income (Millions of US $).1
2024-06-30,$255
2024-03-31,$127
2023-12-31,$84
2023-09-30,$127
2023-06-30,$103
2023-03-31,$26
2022-12-31,$-4
2022-09-30,$-7
2022-06-30,$90
2022-03-31,$62
2021-12-31,$59
2021-09-30,$180
2021-06-30,$26
2021-03-31,$72
2020-12-31,$164
2020-09-30,$326
2020-06-30,$179
2020-03-31,$310
2019-12-31,$224
2019-09-30,$590
2019-06-30,$138
2019-03-31,$280
2018-12-31,$102
2018-09-30,$64
2018-06-30,$154
2018-03-31,$438
2017-12-31,$-112
2017-09-30,$74
2017-06-30,$188
2017-03-31,$313
2016-12-31,$333
2016-09-30,$335
2016-06-30,$195
2016-03-31,$149
2015-12-31,$133
2015-09-30,$182
2015-06-30,$313
2015-03-31,$191
2014-12-31,$189
2014-09-30,$136
2014-06-30,$72
2014-03-31,$50
2013-12-31,$11
2013-09-30,$21
2013-06-30,$-9
2013-03-31,$55
2012-12-31,$91
2012-09-30,$37
2012-06-30,$55
2012-03-31,$39
2011-12-31,$27
2011-09-30,$37
2011-06-30,$70
2011-03-31,$23
2010-12-31,$40
2010-09-30,$-5
2010-06-30,$46
2010-03-31,$26
2009-12-31,$32
2009-09-30,$19
2009-06-30,$59
2009-03-31,$61
