Adtalem Global Education Quarterly Net Income (Millions of US $),Adtalem Global Education Quarterly Net Income (Millions of US $).1
2024-06-30,$49
2024-03-31,$37
2023-12-31,$40
2023-09-30,$11
2023-06-30,$22
2023-03-31,$46
2022-12-31,$25
2022-09-30,$1
2022-06-30,$3
2022-03-31,$348
2021-12-31,$18
2021-09-30,$-58
2021-06-30,$2
2021-03-31,$25
2020-12-31,$23
2020-09-30,$20
2020-06-30,$-256
2020-03-31,$151
2019-12-31,$6
2019-09-30,$14
2019-06-30,$49
2019-03-31,$38
2018-12-31,$17
2018-09-30,$-10
2018-06-30,$63
2018-03-31,$39
2017-12-31,$-81
2017-09-30,$13
2017-06-30,$43
2017-03-31,$40
2016-12-31,$14
2016-09-30,$25
2016-06-30,$-10
2016-03-31,$52
2015-12-31,$-51
2015-09-30,$5
2015-06-30,$30
2015-03-31,$47
2014-12-31,$42
2014-09-30,$20
2014-06-30,$37
2014-03-31,$56
2013-12-31,$48
2013-09-30,$-7
2013-06-30,$-32
2013-03-31,$57
2012-12-31,$50
2012-09-30,$32
2012-06-30,$8
2012-03-31,$67
2011-12-31,$9
2011-09-30,$57
2011-06-30,$75
2011-03-31,$93
2010-12-31,$89
2010-09-30,$74
2010-06-30,$72
2010-03-31,$81
2009-12-31,$72
2009-09-30,$55
2009-06-30,$37
2009-03-31,$51
