Greenbrier Quarterly Net Income (Millions of US $),Greenbrier Quarterly Net Income (Millions of US $).1
2024-05-31,$34
2024-02-29,$33
2023-11-30,$31
2023-08-31,$25
2023-05-31,$21
2023-02-28,$33
2022-11-30,$-17
2022-08-31,$20
2022-05-31,$3
2022-02-28,$13
2021-11-30,$11
2021-08-31,$32
2021-05-31,$20
2021-02-28,$-9
2020-11-30,$-10
2020-08-31,$-0
2020-05-31,$28
2020-02-29,$14
2019-11-30,$8
2019-08-31,$35
2019-05-31,$15
2019-02-28,$3
2018-11-30,$18
2018-08-31,$31
2018-05-31,$33
2018-02-28,$62
2017-11-30,$26
2017-08-31,$24
2017-05-31,$33
2017-02-28,$35
2016-11-30,$25
2016-08-31,$34
2016-05-31,$35
2016-02-29,$45
2015-11-30,$69
2015-08-31,$67
2015-05-31,$43
2015-02-28,$50
2014-11-30,$33
2014-08-31,$47
2014-05-31,$34
2014-02-28,$16
2013-11-30,$15
2013-08-31,$21
2013-05-31,$-56
2013-02-28,$14
2012-11-30,$10
2012-08-31,$7
2012-05-31,$19
2012-02-29,$18
2011-11-30,$15
2011-08-31,$13
2011-05-31,$-3
2011-02-28,$-1
2010-11-30,$-2
2010-08-31,$8
2010-05-31,$5
2010-02-28,$-5
2009-11-30,$-3
2009-08-31,$6
2009-05-31,$-51
2009-02-28,$-7
