"BARINGS BDC, INC Quarterly Net Income (Millions of US $)","BARINGS BDC, INC Quarterly Net Income (Millions of US $).1"
2024-06-30,$19
2024-03-31,$44
2023-12-31,$30
2023-09-30,$18
2023-06-30,$40
2023-03-31,$40
2022-12-31,$-1
2022-09-30,$10
2022-06-30,$-25
2022-03-31,$21
2021-12-31,$11
2021-09-30,$14
2021-06-30,$29
2021-03-31,$22
2020-12-31,$23
2020-09-30,$43
2020-06-30,$55
2020-03-31,$-113
2019-12-31,$11
2019-09-30,$5
2019-06-30,$9
2019-03-31,$33
2018-12-31,$-43
2018-09-30,$-101
2018-06-30,$15
2018-03-31,$14
2017-12-31,$24
2017-09-30,$-57
2017-06-30,$-2
2017-03-31,$7
2016-12-31,$7
2016-09-30,$8
2016-06-30,$7
2016-03-31,$12
2015-12-31,$9
2015-09-30,$18
2015-06-30,$12
2015-03-31,$8
2014-12-31,$0
2014-09-30,$-9
2014-06-30,$24
2014-03-31,$13
2013-12-31,$18
2013-09-30,$23
2013-06-30,$22
2013-03-31,$18
2012-12-31,$16
2012-09-30,$16
2012-06-30,$16
2012-03-31,$13
2011-12-31,$12
2011-09-30,$17
2011-06-30,$15
2011-03-31,$12
2010-12-31,$7
2010-09-30,$7
2010-06-30,$7
2010-03-31,$4
2009-12-31,$8
2009-09-30,$-1
2009-06-30,$-3
2009-03-31,$-1
