Stellantis Quarterly Net Income (Millions of US $),Stellantis Quarterly Net Income (Millions of US $).1
2024-06-30,
2020-12-31,"$1,647"
2020-09-30,"$1,400"
2020-06-30,"$-1,143"
2020-03-31,"$-1,871"
2019-12-31,"$1,691"
2019-09-30,$-199
2019-06-30,"$5,227"
2019-03-31,$699
2018-12-31,"$1,472"
2018-09-30,$648
2018-06-30,$892
2018-03-31,"$1,249"
2017-12-31,$937
2017-09-30,"$1,071"
2017-06-30,"$1,259"
2017-03-31,$679
2016-12-31,$445
2016-09-30,$679
2016-06-30,$351
2016-03-31,$521
2015-12-31,$275
2015-09-30,$-333
2015-06-30,$370
2015-03-31,$100
2014-12-31,$474
2014-09-30,$221
2014-06-30,$271
2014-03-31,$-237
2013-12-31,"$1,764"
