QuidelOrtho Quarterly Net Income (Millions of US $),QuidelOrtho Quarterly Net Income (Millions of US $).1
2024-06-30,$-148
2024-03-31,"$-1,706"
2023-12-31,$7
2023-09-30,$-13
2023-06-30,$-53
2023-03-31,$49
2022-12-31,$30
2022-09-30,$19
2022-06-30,$19
2022-03-31,$480
2021-12-31,$291
2021-09-30,$216
2021-06-30,$19
2021-03-31,$178
2020-12-31,$470
2020-09-30,$232
2020-06-30,$68
2020-03-31,$40
2019-12-31,$31
2019-09-30,$16
2019-06-30,$1
2019-03-31,$25
2018-12-31,$32
2018-09-30,$11
2018-06-30,$-3
2018-03-31,$34
2017-12-31,$-5
2017-09-30,$-6
2017-06-30,$-12
2017-03-31,$14
2016-12-31,$-2
2016-09-30,$-1
2016-06-30,$-8
2016-03-31,$-3
2015-12-31,$-0
2015-09-30,$-1
2015-06-30,$-9
2015-03-31,$4
2014-12-31,$7
2014-09-30,$-6
2014-06-30,$-7
2014-03-31,$-2
2013-12-31,$1
2013-09-30,$-4
2013-06-30,$-2
2013-03-31,$12
2012-12-31,$9
2012-09-30,$-1
2012-06-30,$-3
2012-03-31,$0
2011-12-31,$1
2011-09-30,$-1
2011-06-30,$-4
2011-03-31,$11
2010-12-31,$-0
2010-09-30,$-6
2010-06-30,$-2
2010-03-31,$-3
2009-12-31,$20
2009-09-30,$15
2009-06-30,$1
2009-03-31,$-3
