BXP Quarterly Net Income (Millions of US $),BXP Quarterly Net Income (Millions of US $).1
2024-06-30,$80
2024-03-31,$80
2023-12-31,$120
2023-09-30,$-112
2023-06-30,$104
2023-03-31,$78
2022-12-31,$122
2022-09-30,$361
2022-06-30,$223
2022-03-31,$143
2021-12-31,$185
2021-09-30,$108
2021-06-30,$112
2021-03-31,$92
2020-12-31,$9
2020-09-30,$90
2020-06-30,$266
2020-03-31,$497
2019-12-31,$141
2019-09-30,$108
2019-06-30,$164
2019-03-31,$98
2018-12-31,$149
2018-09-30,$119
2018-06-30,$129
2018-03-31,$176
2017-12-31,$104
2017-09-30,$117
2017-06-30,$134
2017-03-31,$97
2016-12-31,$147
2016-09-30,$77
2016-06-30,$97
2016-03-31,$182
2015-12-31,$138
2015-09-30,$184
2015-06-30,$79
2015-03-31,$171
2014-12-31,$175
2014-09-30,$128
2014-06-30,$77
2014-03-31,$54
2013-12-31,$89
2013-09-30,$153
2013-06-30,$452
2013-03-31,$48
2012-12-31,$65
2012-09-30,$57
2012-06-30,$119
2012-03-31,$48
2011-12-31,$101
2011-09-30,$71
2011-06-30,$60
2011-03-31,$41
2010-12-31,$-13
2010-09-30,$58
2010-06-30,$61
2010-03-31,$53
2009-12-31,$53
2009-09-30,$66
2009-06-30,$67
2009-03-31,$45
