First Busey Quarterly Net Income (Millions of US $),First Busey Quarterly Net Income (Millions of US $).1
2024-06-30,$27
2024-03-31,$26
2023-12-31,$26
2023-09-30,$31
2023-06-30,$29
2023-03-31,$37
2022-12-31,$34
2022-09-30,$36
2022-06-30,$30
2022-03-31,$28
2021-12-31,$30
2021-09-30,$26
2021-06-30,$30
2021-03-31,$38
2020-12-31,$28
2020-09-30,$31
2020-06-30,$26
2020-03-31,$15
2019-12-31,$29
2019-09-30,$25
2019-06-30,$24
2019-03-31,$25
2018-12-31,$25
2018-09-30,$27
2018-06-30,$25
2018-03-31,$22
2017-12-31,$12
2017-09-30,$19
2017-06-30,$16
2017-03-31,$15
2016-12-31,$11
2016-09-30,$15
2016-06-30,$12
2016-03-31,$10
2015-12-31,$11
2015-09-30,$10
2015-06-30,$10
2015-03-31,$8
2014-12-31,$7
2014-09-30,$9
2014-06-30,$8
2014-03-31,$8
2013-12-31,$6
2013-09-30,$7
2013-06-30,$7
2013-03-31,$6
2012-12-31,$4
2012-09-30,$4
2012-06-30,$4
2012-03-31,$7
2011-12-31,$5
2011-09-30,$7
2011-06-30,$6
2011-03-31,$7
2010-12-31,$6
2010-09-30,$5
2010-06-30,$4
2010-03-31,$3
2009-12-31,$-29
2009-09-30,$-284
2009-06-30,$-20
2009-03-31,$6
