Bruker Quarterly Net Income (Millions of US $),Bruker Quarterly Net Income (Millions of US $).1
2024-06-30,$8
2024-03-31,$51
2023-12-31,$206
2023-09-30,$88
2023-06-30,$57
2023-03-31,$77
2022-12-31,$97
2022-09-30,$88
2022-06-30,$50
2022-03-31,$62
2021-12-31,$76
2021-09-30,$87
2021-06-30,$58
2021-03-31,$57
2020-12-31,$69
2020-09-30,$54
2020-06-30,$24
2020-03-31,$11
2019-12-31,$69
2019-09-30,$61
2019-06-30,$37
2019-03-31,$31
2018-12-31,$78
2018-09-30,$43
2018-06-30,$31
2018-03-31,$27
2017-12-31,$-3
2017-09-30,$37
2017-06-30,$23
2017-03-31,$22
2016-12-31,$69
2016-09-30,$47
2016-06-30,$15
2016-03-31,$24
2015-12-31,$61
2015-09-30,$12
2015-06-30,$22
2015-03-31,$7
2014-12-31,$26
2014-09-30,$6
2014-06-30,$16
2014-03-31,$9
2013-12-31,$35
2013-09-30,$17
2013-06-30,$23
2013-03-31,$5
2012-12-31,$13
2012-09-30,$40
2012-06-30,$10
2012-03-31,$15
2011-12-31,$39
2011-09-30,$20
2011-06-30,$22
2011-03-31,$11
2010-12-31,$29
2010-09-30,$27
2010-06-30,$23
2010-03-31,$16
2009-12-31,$44
2009-09-30,$16
2009-06-30,$13
2009-03-31,$8
