Curtiss-Wright Quarterly Net Income (Millions of US $),Curtiss-Wright Quarterly Net Income (Millions of US $).1
2024-06-30,$99
2024-03-31,$76
2023-12-31,$120
2023-09-30,$97
2023-06-30,$81
2023-03-31,$57
2022-12-31,$109
2022-09-30,$74
2022-06-30,$71
2022-03-31,$41
2021-12-31,$72
2021-09-30,$70
2021-06-30,$61
2021-03-31,$59
2020-12-31,$54
2020-09-30,$65
2020-06-30,$31
2020-03-31,$52
2019-12-31,$89
2019-09-30,$83
2019-06-30,$80
2019-03-31,$56
2018-12-31,$83
2018-09-30,$74
2018-06-30,$75
2018-03-31,$44
2017-12-31,$68
2017-09-30,$64
2017-06-30,$51
2017-03-31,$33
2016-12-31,$69
2016-09-30,$46
2016-06-30,$40
2016-03-31,$33
2015-12-31,$70
2015-09-30,$34
2015-06-30,$26
2015-03-31,$16
2014-12-31,$17
2014-09-30,$25
2014-06-30,$36
2014-03-31,$35
2013-12-31,$47
2013-09-30,$36
2013-06-30,$33
2013-03-31,$21
2012-12-31,$38
2012-09-30,$11
2012-06-30,$23
2012-03-31,$41
2011-12-31,$36
2011-09-30,$34
2011-06-30,$32
2011-03-31,$25
2010-12-31,$32
2010-09-30,$28
2010-06-30,$26
2010-03-31,$16
2009-12-31,$35
2009-09-30,$20
2009-06-30,$24
2009-03-31,$16
