COPT Defense Properties Quarterly Net Income (Millions of US $),COPT Defense Properties Quarterly Net Income (Millions of US $).1
2024-06-30,$35
2024-03-31,$33
2023-12-31,$34
2023-09-30,$-216
2023-06-30,$30
2023-03-31,$79
2022-12-31,$50
2022-09-30,$31
2022-06-30,$32
2022-03-31,$59
2021-12-31,$14
2021-09-30,$27
2021-06-30,$42
2021-03-31,$-7
2020-12-31,$82
2020-09-30,$-32
2020-06-30,$23
2020-03-31,$24
2019-12-31,$43
2019-09-30,$21
2019-06-30,$106
2019-03-31,$21
2018-12-31,$17
2018-09-30,$19
2018-06-30,$19
2018-03-31,$17
2017-12-31,$10
2017-09-30,$21
2017-06-30,$8
2017-03-31,$18
2016-12-31,$39
2016-09-30,$24
2016-06-30,$-51
2016-03-31,$3
2015-12-31,$56
2015-09-30,$86
2015-06-30,$12
2015-03-31,$10
2014-12-31,$1
2014-09-30,$19
2014-06-30,$2
2014-03-31,$0
2013-12-31,$83
2013-09-30,$-7
2013-06-30,$-13
2013-03-31,$9
2012-12-31,$12
2012-09-30,$-28
2012-06-30,$7
2012-03-31,$6
2011-12-31,$-88
2011-09-30,$3
2011-06-30,$-28
2011-03-31,$-22
2010-12-31,$11
2010-09-30,$5
2010-06-30,$4
2010-03-31,$6
2009-12-31,$5
2009-09-30,$10
2009-06-30,$13
2009-03-31,$12
