Evolus Quarterly Net Income (Millions of US $),Evolus Quarterly Net Income (Millions of US $).1
2024-06-30,$-11
2024-03-31,$-13
2023-12-31,$-12
2023-09-30,$-17
2023-06-30,$-18
2023-03-31,$-15
2022-12-31,$-13
2022-09-30,$-20
2022-06-30,$-23
2022-03-31,$-18
2021-12-31,$-18
2021-09-30,$-19
2021-06-30,$-16
2021-03-31,$6
2020-12-31,$-111
2020-09-30,$-11
2020-06-30,$-21
2020-03-31,$-20
2019-12-31,$-15
2019-09-30,$-27
2019-06-30,$-38
2019-03-31,$-11
2018-12-31,$-12
2018-09-30,$-12
2018-06-30,$-16
2018-03-31,$-6
2017-12-31,$4
2017-09-30,$-3
2017-06-30,$-2
2017-03-31,$-4
2016-12-31,
2015-12-31,
