Floor & Decor Holdings Quarterly Net Income (Millions of US $),Floor & Decor Holdings Quarterly Net Income (Millions of US $).1
2024-06-30,$57
2024-03-31,$50
2023-12-31,$37
2023-09-30,$66
2023-06-30,$71
2023-03-31,$72
2022-12-31,$69
2022-09-30,$76
2022-06-30,$82
2022-03-31,$71
2021-12-31,$50
2021-09-30,$75
2021-06-30,$83
2021-03-31,$76
2020-12-31,$57
2020-09-30,$69
2020-06-30,$32
2020-03-31,$37
2019-12-31,$35
2019-09-30,$41
2019-06-30,$44
2019-03-31,$31
2018-12-31,$18
2018-09-30,$27
2018-06-30,$40
2018-03-31,$32
2017-12-31,$48
2017-09-30,$23
2017-06-30,$20
2017-03-31,$11
2016-12-31,$17
2016-09-30,$14
2016-06-30,$5
2016-03-31,$7
2015-12-31,
2014-12-31,
