ServiceNow Quarterly Net Income (Millions of US $),ServiceNow Quarterly Net Income (Millions of US $).1
2024-06-30,$262
2024-03-31,$347
2023-12-31,$295
2023-09-30,$242
2023-06-30,"$1,044"
2023-03-31,$150
2022-12-31,$150
2022-09-30,$80
2022-06-30,$20
2022-03-31,$75
2021-12-31,$26
2021-09-30,$63
2021-06-30,$59
2021-03-31,$82
2020-12-31,$17
2020-09-30,$13
2020-06-30,$41
2020-03-31,$48
2019-12-31,$599
2019-09-30,$41
2019-06-30,$-11
2019-03-31,$-2
2018-12-31,$7
2018-09-30,$8
2018-06-30,$-53
2018-03-31,$11
2017-12-31,$-17
2017-09-30,$-22
2017-06-30,$-56
2017-03-31,$-22
2016-12-31,$5
2016-09-30,$-36
2016-06-30,$-50
2016-03-31,$-333
2015-12-31,$-37
2015-09-30,$-41
2015-06-30,$-62
2015-03-31,$-58
2014-12-31,$-45
2014-09-30,$-41
2014-06-30,$-50
2014-03-31,$-43
2013-12-31,$-24
2013-09-30,$-15
2013-06-30,$-21
2013-03-31,$-13
2012-12-31,$-10
2012-09-30,$-13
2012-06-30,$-9
2012-03-31,$-6
2011-12-31,$-7
2011-09-30,$-0
2011-06-30,$0
2011-03-31,$7
2010-06-30,
2009-06-30,
