NiSource Quarterly Net Income (Millions of US $),NiSource Quarterly Net Income (Millions of US $).1
2024-06-30,$86
2024-03-31,$344
2023-12-31,$226
2023-09-30,$77
2023-06-30,$40
2023-03-31,$319
2022-12-31,$231
2022-09-30,$52
2022-06-30,$53
2022-03-31,$413
2021-12-31,$152
2021-09-30,$49
2021-06-30,$47
2021-03-31,$282
2020-12-31,$71
2020-09-30,$-187
2020-06-30,$-19
2020-03-31,$62
2019-12-31,$-153
2019-09-30,$-7
2019-06-30,$283
2019-03-31,$205
2018-12-31,$-20
2018-09-30,$-345
2018-06-30,$23
2018-03-31,$276
2017-12-31,$-52
2017-09-30,$14
2017-06-30,$-44
2017-03-31,$211
2016-12-31,$89
2016-09-30,$27
2016-06-30,$29
2016-03-31,$187
2015-12-31,$59
2015-09-30,$-5
2015-06-30,$-36
2015-03-31,$268
2014-12-31,$154
2014-09-30,$31
2014-06-30,$78
2014-03-31,$266
2013-12-31,$152
2013-09-30,$48
2013-06-30,$72
2013-03-31,$261
2012-12-31,$134
2012-09-30,$19
2012-06-30,$69
2012-03-31,$193
2011-12-31,$15
2011-09-30,$35
2011-06-30,$40
2011-03-31,$210
2010-12-31,$24
2010-09-30,$33
2010-06-30,$28
2010-03-31,$197
2009-12-31,$89
2009-09-30,$-15
2009-06-30,$-5
2009-03-31,$148
