Ares Management Quarterly Net Income (Millions of US $),Ares Management Quarterly Net Income (Millions of US $).1
2024-06-30,$95
2024-03-31,$73
2023-12-31,$174
2023-09-30,$62
2023-06-30,$145
2023-03-31,$94
2022-12-31,$121
2022-09-30,$-36
2022-06-30,$40
2022-03-31,$42
2021-12-31,$124
2021-09-30,$85
2021-06-30,$125
2021-03-31,$53
2020-12-31,$74
2020-09-30,$42
2020-06-30,$51
2020-03-31,$-36
2019-12-31,$33
2019-09-30,$28
2019-06-30,$27
2019-03-31,$40
2018-12-31,$8
2018-09-30,$10
2018-06-30,$-17
2018-03-31,$34
2017-12-31,$35
2017-09-30,$22
2017-06-30,$44
2017-03-31,$-47
2016-12-31,$29
2016-09-30,$37
2016-06-30,$38
2016-03-31,$-3
2015-12-31,$0
2015-09-30,$-11
2015-06-30,$12
2015-03-31,$18
2014-12-31,$3
2014-09-30,$14
2014-06-30,$18
2014-03-31,
2013-12-31,
2013-09-30,
2013-06-30,
2012-12-31,
2011-12-31,
