Flowserve Quarterly Net Income (Millions of US $),Flowserve Quarterly Net Income (Millions of US $).1
2024-06-30,$73
2024-03-31,$74
2023-12-31,$63
2023-09-30,$46
2023-06-30,$51
2023-03-31,$27
2022-12-31,$121
2022-09-30,$38
2022-06-30,$45
2022-03-31,$-16
2021-12-31,$17
2021-09-30,$50
2021-06-30,$45
2021-03-31,$14
2020-12-31,$56
2020-09-30,$56
2020-06-30,$6
2020-03-31,$12
2019-12-31,$64
2019-09-30,$60
2019-06-30,$58
2019-03-31,$57
2018-12-31,$48
2018-09-30,$28
2018-06-30,$13
2018-03-31,$15
2017-12-31,$-106
2017-09-30,$48
2017-06-30,$42
2017-03-31,$19
2016-12-31,$60
2016-09-30,$-16
2016-06-30,$54
2016-03-31,$34
2015-12-31,$62
2015-09-30,$94
2015-06-30,$75
2015-03-31,$28
2014-12-31,$154
2014-09-30,$129
2014-06-30,$124
2014-03-31,$108
2013-12-31,$141
2013-09-30,$126
2013-06-30,$120
2013-03-31,$98
2012-12-31,$142
2012-09-30,$106
2012-06-30,$107
2012-03-31,$93
2011-12-31,$125
2011-09-30,$108
2011-06-30,$99
2011-03-31,$97
2010-12-31,$113
2010-09-30,$104
2010-06-30,$92
2010-03-31,$80
2009-12-31,$110
2009-09-30,$117
2009-06-30,$108
2009-03-31,$92
