Hamilton Lane Quarterly Net Income (Millions of US $),Hamilton Lane Quarterly Net Income (Millions of US $).1
2024-06-30,$59
2024-03-31,$48
2023-12-31,$20
2023-09-30,$42
2023-06-30,$31
2023-03-31,$31
2022-12-31,$10
2022-09-30,$35
2022-06-30,$33
2022-03-31,$14
2021-12-31,$52
2021-09-30,$52
2021-06-30,$28
2021-03-31,$40
2020-12-31,$33
2020-09-30,$22
2020-06-30,$3
2020-03-31,$21
2019-12-31,$13
2019-09-30,$15
2019-06-30,$11
2019-03-31,$8
2018-12-31,$5
2018-09-30,$11
2018-06-30,$9
2018-03-31,$13
2017-12-31,$-6
2017-09-30,$5
2017-06-30,$5
2017-03-31,$1
2016-12-31,
2016-09-30,
2016-06-30,
2016-03-31,
2015-03-31,
