Cirrus Logic Quarterly Net Income (Millions of US $),Cirrus Logic Quarterly Net Income (Millions of US $).1
2024-06-30,$42
2024-03-31,$45
2023-12-31,$139
2023-09-30,$75
2023-06-30,$16
2023-03-31,$-54
2022-12-31,$103
2022-09-30,$87
2022-06-30,$40
2022-03-31,$96
2021-12-31,$128
2021-09-30,$85
2021-06-30,$17
2021-03-31,$25
2020-12-31,$114
2020-09-30,$59
2020-06-30,$18
2020-03-31,$10
2019-12-31,$69
2019-09-30,$76
2019-06-30,$5
2019-03-31,$6
2018-12-31,$30
2018-09-30,$58
2018-06-30,$-4
2018-03-31,$12
2017-12-31,$34
2017-09-30,$73
2017-06-30,$43
2017-03-31,$35
2016-12-31,$122
2016-09-30,$86
2016-06-30,$18
2016-03-31,$14
2015-12-31,$41
2015-09-30,$35
2015-06-30,$33
2015-03-31,$21
2014-12-31,$23
2014-09-30,$1
2014-06-30,$10
2014-03-31,$13
2013-12-31,$42
2013-09-30,$33
2013-06-30,$21
2013-03-31,$26
2012-12-31,$68
2012-09-30,$35
2012-06-30,$7
2012-03-31,$51
2011-12-31,$17
2011-09-30,$11
2011-06-30,$9
2011-03-31,$130
2010-12-31,$25
2010-09-30,$31
2010-06-30,$18
2010-03-31,$20
2009-12-31,$11
2009-09-30,$7
2009-06-30,$0
2009-03-31,$-8
