Morgan Stanley Quarterly Net Income (Millions of US $),Morgan Stanley Quarterly Net Income (Millions of US $).1
2024-06-30,"$2,942"
2024-03-31,"$3,266"
2023-12-31,"$1,383"
2023-09-30,"$2,262"
2023-06-30,"$2,049"
2023-03-31,"$2,836"
2022-12-31,"$2,113"
2022-09-30,"$2,494"
2022-06-30,"$2,391"
2022-03-31,"$3,542"
2021-12-31,"$3,592"
2021-09-30,"$3,584"
2021-06-30,"$3,408"
2021-03-31,"$3,982"
2020-12-31,"$3,266"
2020-09-30,"$2,597"
2020-06-30,"$3,047"
2020-03-31,"$1,590"
2019-12-31,"$2,085"
2019-09-30,"$2,060"
2019-06-30,"$2,031"
2019-03-31,"$2,336"
2018-12-31,"$1,361"
2018-09-30,"$2,019"
2018-06-30,"$2,267"
2018-03-31,"$2,575"
2017-12-31,$473
2017-09-30,"$1,688"
2017-06-30,"$1,587"
2017-03-31,"$1,840"
2016-12-31,"$1,510"
2016-09-30,"$1,518"
2016-06-30,"$1,425"
2016-03-31,"$1,055"
2015-12-31,$753
2015-09-30,$939
2015-06-30,"$1,665"
2015-03-31,"$2,314"
2014-12-31,"$-1,746"
2014-09-30,"$1,629"
2014-06-30,"$1,820"
2014-03-31,"$1,449"
2013-12-31,$36
2013-09-30,$880
2013-06-30,$803
2013-03-31,$936
2012-12-31,$572
2012-09-30,"$-1,047"
2012-06-30,$564
2012-03-31,$-119
2011-12-31,$-264
2011-09-30,"$2,153"
2011-06-30,$-558
2011-03-31,$736
2010-12-31,$696
2010-09-30,$-91
2010-06-30,"$1,578"
2010-03-31,"$1,411"
2009-12-31,$429
2009-09-30,$498
2009-06-30,"$-1,256"
2009-03-31,$-578
