IRhythm Technologies Quarterly Net Income (Millions of US $),IRhythm Technologies Quarterly Net Income (Millions of US $).1
2024-06-30,$-20
2024-03-31,$-46
2023-12-31,$-39
2023-09-30,$-27
2023-06-30,$-18
2023-03-31,$-39
2022-12-31,$-20
2022-09-30,$-21
2022-06-30,$-24
2022-03-31,$-51
2021-12-31,$-32
2021-09-30,$-24
2021-06-30,$-17
2021-03-31,$-28
2020-12-31,$-10
2020-09-30,$-5
2020-06-30,$-20
2020-03-31,$-9
2019-12-31,$-17
2019-09-30,$-18
2019-06-30,$-11
2019-03-31,$-8
2018-12-31,$-17
2018-09-30,$-10
2018-06-30,$-12
2018-03-31,$-11
2017-12-31,$-11
2017-09-30,$-7
2017-06-30,$-6
2017-03-31,$-5
2016-12-31,$-6
2016-09-30,$-4
2016-06-30,$-4
2016-03-31,$-6
2015-12-31,
2015-09-30,$-6
2015-06-30,
2014-12-31,
