Shell Quarterly Net Income (Millions of US $),Shell Quarterly Net Income (Millions of US $).1
2024-06-30,"$3,517"
2024-03-31,"$7,358"
2023-12-31,$472
2023-09-30,"$7,044"
2023-06-30,"$3,134"
2023-03-31,"$8,709"
2022-12-31,"$10,410"
2022-09-30,"$6,743"
2022-06-30,"$18,040"
2022-03-31,"$7,116"
2021-12-31,"$11,460"
2021-09-30,$-447
2021-06-30,"$3,428"
2021-03-31,"$5,660"
2020-12-31,"$-4,014"
2020-09-30,$489
2020-06-30,"$-18,131"
2020-03-31,$-24
2019-12-31,$964
2019-09-30,"$5,879"
2019-06-30,"$2,998"
2019-03-31,"$6,001"
2018-12-31,"$5,590"
2018-09-30,"$5,839"
2018-06-30,"$6,024"
2018-03-31,"$5,899"
2017-12-31,"$3,807"
2017-09-30,"$4,087"
2017-06-30,"$1,545"
2017-03-31,"$3,538"
2016-12-31,"$1,541"
2016-09-30,"$1,375"
2016-06-30,"$1,175"
2016-03-31,$484
2015-12-31,$939
2015-09-30,"$-7,416"
2015-06-30,"$3,986"
2015-03-31,"$4,430"
2014-12-31,$595
2014-09-30,"$4,463"
2014-06-30,"$5,307"
2014-03-31,"$4,509"
2013-12-31,"$1,781"
2013-09-30,"$4,677"
2013-06-30,"$1,737"
2013-03-31,"$8,176"
2012-12-31,"$6,728"
2012-09-30,"$7,164"
2012-06-30,"$4,083"
2012-03-31,"$8,737"
2011-12-31,"$6,500"
2011-09-30,"$6,976"
2011-06-30,"$8,662"
2011-03-31,"$8,780"
2010-12-31,"$6,790"
2010-09-30,"$3,463"
2010-06-30,"$4,393"
2010-03-31,"$5,481"
2009-12-31,"$1,961"
2009-09-30,"$3,247"
2009-06-30,"$3,822"
2009-03-31,"$3,488"
