Tidewater Quarterly Net Income (Millions of US $),Tidewater Quarterly Net Income (Millions of US $).1
2024-06-30,$50
2024-03-31,$47
2023-12-31,$38
2023-09-30,$26
2023-06-30,$23
2023-03-31,$11
2022-12-31,$11
2022-09-30,$5
2022-06-30,$-26
2022-03-31,$-12
2021-12-31,$-38
2021-09-30,$-26
2021-06-30,$-29
2021-03-31,$-35
2020-12-31,$-29
2020-09-30,$-38
2020-06-30,$-111
2020-03-31,$-18
2019-12-31,$-60
2019-09-30,$-44
2019-06-30,$-16
2019-03-31,$-22
2018-12-31,$-91
2018-09-30,$-31
2018-06-30,$-11
2018-03-31,$-39
2017-12-31,
2017-09-30,"$-1,138"
2017-06-30,$-524
2017-03-31,$-95
2016-12-31,$-298
2016-09-30,$-178
2016-06-30,$-89
2016-03-31,
2015-12-31,$-20
2015-09-30,$-44
2015-06-30,$-15
2015-03-31,
2014-12-31,$-161
2014-09-30,$61
2014-06-30,$44
2014-03-31,
2013-12-31,$13
2013-09-30,$54
2013-06-30,$30
2013-03-31,
2012-12-31,$30
2012-09-30,$41
2012-06-30,$33
2012-03-31,
2011-12-31,$34
2011-09-30,$-5
2011-06-30,$25
2011-03-31,
2010-12-31,$34
2010-09-30,$19
2010-06-30,$40
2010-03-31,
2009-12-31,$60
2009-09-30,$98
2009-06-30,$44
2009-03-31,
