MACOM Technology Solutions Holdings Quarterly Net Income (Millions of US $),MACOM Technology Solutions Holdings Quarterly Net Income (Millions of US $).1
2024-06-30,$20
2024-03-31,$15
2023-12-31,$13
2023-09-30,$24
2023-06-30,$12
2023-03-31,$26
2022-12-31,$30
2022-09-30,$239
2022-06-30,$32
2022-03-31,$30
2021-12-31,$139
2021-09-30,$17
2021-06-30,$15
2021-03-31,$15
2020-12-31,$-9
2020-09-30,$26
2020-06-30,$-25
2020-03-31,$-19
2019-12-31,$-28
2019-09-30,$12
2019-06-30,$-327
2019-03-31,$-46
2018-12-31,$-23
2018-09-30,$-44
2018-06-30,$-85
2018-03-31,$-15
2017-12-31,$-23
2017-09-30,$-11
2017-06-30,$-28
2017-03-31,$-130
2016-12-31,$-1
2016-09-30,$5
2016-06-30,$23
2016-03-31,$-11
2015-12-31,$-16
2015-09-30,$54
2015-06-30,$8
2015-03-31,$-8
2014-12-31,$-6
2014-09-30,$15
2014-06-30,$1
2014-03-31,$-22
2013-12-31,$-9
2013-09-30,$2
2013-06-30,$7
2013-03-31,$5
2012-12-31,$6
2012-09-30,$34
2012-06-30,$14
2012-03-31,$-55
2011-12-31,$1
2011-09-30,$40
2011-06-30,$-41
2011-03-31,$-87
2010-12-31,$9
2010-09-30,
2009-09-30,
