Veris Residential Quarterly Net Income (Millions of US $),Veris Residential Quarterly Net Income (Millions of US $).1
2024-06-30,$3
2024-03-31,$-4
2023-12-31,$-5
2023-09-30,$-55
2023-06-30,$-27
2023-03-31,$-20
2022-12-31,$32
2022-09-30,$-101
2022-06-30,$26
2022-03-31,$-9
2021-12-31,$-26
2021-09-30,$-28
2021-06-30,$-72
2021-03-31,$8
2020-12-31,$66
2020-09-30,$-42
2020-06-30,$-35
2020-03-31,$-40
2019-12-31,$-55
2019-09-30,$-56
2019-06-30,$-22
2019-03-31,$244
2018-12-31,$44
2018-09-30,$-1
2018-06-30,$-1
2018-03-31,$43
2017-12-31,$3
2017-09-30,$38
2017-06-30,$-37
2017-03-31,$20
2016-12-31,$15
2016-09-30,$-9
2016-06-30,$48
2016-03-31,$62
2015-12-31,$-32
2015-09-30,$-127
2015-06-30,$35
2015-03-31,$-3
2014-12-31,$-9
2014-09-30,$2
2014-06-30,$51
2014-03-31,$-15
2013-12-31,$-54
2013-09-30,$5
2013-06-30,$23
2013-03-31,$12
2012-12-31,$-9
2012-09-30,$14
2012-06-30,$10
2012-03-31,$26
2011-12-31,$16
2011-09-30,$21
2011-06-30,$17
2011-03-31,$16
2010-12-31,$7
2010-09-30,$13
2010-06-30,$19
2010-03-31,$15
2009-12-31,$1
2009-09-30,$19
2009-06-30,$20
2009-03-31,$12
