WillScot Holdings Quarterly Net Income (Millions of US $),WillScot Holdings Quarterly Net Income (Millions of US $).1
2024-06-30,$-47
2024-03-31,$56
2023-12-31,$86
2023-09-30,$92
2023-06-30,$88
2023-03-31,$211
2022-12-31,$86
2022-09-30,$129
2022-06-30,$73
2022-03-31,$51
2021-12-31,$74
2021-09-30,$61
2021-06-30,$20
2021-03-31,$4
2020-12-31,$4
2020-09-30,$-6
2020-06-30,$-15
2020-03-31,$92
2019-12-31,$-102
2019-09-30,$1
2019-06-30,$-11
2019-03-31,$-9
2018-12-31,$14
2018-09-30,$-34
2018-06-30,$0
2018-03-31,$-6
2017-12-31,$-123
2017-09-30,$-8
2017-06-30,$-6
2017-03-31,$-10
2016-12-31,
2015-12-31,
