A-Mark Precious Metals Quarterly Net Income (Millions of US $),A-Mark Precious Metals Quarterly Net Income (Millions of US $).1
2024-06-30,$31
2024-03-31,$5
2023-12-31,$14
2023-09-30,$19
2023-06-30,$42
2023-03-31,$36
2022-12-31,$33
2022-09-30,$45
2022-06-30,$37
2022-03-31,$37
2021-12-31,$32
2021-09-30,$26
2021-06-30,$51
2021-03-31,$77
2020-12-31,$9
2020-09-30,$23
2020-06-30,$18
2020-03-31,$11
2019-12-31,$1
2019-09-30,$0
2019-06-30,$-1
2019-03-31,$1
2018-12-31,$1
2018-09-30,$1
2018-06-30,$-3
2018-03-31,$-1
2017-12-31,$-0
2017-09-30,$0
2017-06-30,$1
2017-03-31,$1
2016-12-31,$3
2016-09-30,$2
2016-06-30,$1
2016-03-31,$1
2015-12-31,$1
2015-09-30,$6
2015-06-30,$3
2015-03-31,$2
2014-12-31,$2
2014-09-30,$1
2014-06-30,$2
2014-03-31,$2
2013-12-31,$2
2013-09-30,$2
2013-06-30,
2013-03-31,$3
2012-12-31,$2
2012-06-30,
