Grupo Aval Acciones Y Valores S.A Quarterly Net Income (Millions of US $),Grupo Aval Acciones Y Valores S.A Quarterly Net Income (Millions of US $).1
2024-06-30,$61
2023-12-31,$-166
2023-09-30,$13
2023-06-30,$216
2023-03-31,$85
2022-12-31,$-307
2022-09-30,$82
2022-06-30,$203
2022-03-31,$519
2021-12-31,$233
2021-09-30,$234
2021-06-30,$285
2021-03-31,$238
2020-12-31,$172
2020-09-30,$207
2020-06-30,$97
2020-03-31,$229
2019-12-31,$215
2019-09-30,$223
2019-06-30,$244
2019-03-31,$229
2018-12-31,$150
2018-09-30,$235
2018-06-30,$273
2018-03-31,$239
2017-12-31,$209
2017-09-30,$131
2017-06-30,$141
2017-03-31,$176
2016-12-31,$209
2016-09-30,$184
2016-06-30,$180
2016-03-31,$140
2015-12-31,$96
2015-09-30,$133
2015-06-30,$218
2015-03-31,$201
2014-12-31,$215
2014-09-30,$231
2014-06-30,$244
2014-03-31,$175
2013-12-31,$160
2013-09-30,$210
2013-06-30,$178
2013-03-31,$283
