Lattice Semiconductor Quarterly Net Income (Millions of US $),Lattice Semiconductor Quarterly Net Income (Millions of US $).1
2024-06-30,$23
2024-03-31,$15
2023-12-31,$99
2023-09-30,$54
2023-06-30,$51
2023-03-31,$56
2022-12-31,$52
2022-09-30,$46
2022-06-30,$45
2022-03-31,$36
2021-12-31,$29
2021-09-30,$27
2021-06-30,$22
2021-03-31,$19
2020-12-31,$16
2020-09-30,$13
2020-06-30,$11
2020-03-31,$8
2019-12-31,$14
2019-09-30,$14
2019-06-30,$9
2019-03-31,$7
2018-12-31,$-7
2018-09-30,$7
2018-06-30,$-20
2018-03-31,$-6
2017-12-31,$-7
2017-09-30,$-43
2017-06-30,$-13
2017-03-31,$-7
2016-12-31,$-8
2016-09-30,$-12
2016-06-30,$-14
2016-03-31,$-20
2015-12-31,$-45
2015-09-30,$-25
2015-06-30,$-36
2015-03-31,$-53
2014-12-31,$15
2014-09-30,$9
2014-06-30,$12
2014-03-31,$12
2013-12-31,$7
2013-09-30,$9
2013-06-30,$5
2013-03-31,$2
2012-12-31,$-7
2012-09-30,$-2
2012-06-30,$-13
2012-03-31,$-8
2011-12-31,$41
2011-09-30,$13
2011-06-30,$13
2011-03-31,$11
2010-12-31,$14
2010-09-30,$15
2010-06-30,$17
2010-03-31,$11
2009-12-31,$6
2009-09-30,$-4
2009-06-30,$-3
2009-03-31,$-6
