Equity Residential Quarterly Net Income (Millions of US $),Equity Residential Quarterly Net Income (Millions of US $).1
2024-06-30,$177
2024-03-31,$294
2023-12-31,$311
2023-09-30,$172
2023-06-30,$138
2023-03-31,$211
2022-12-31,$158
2022-09-30,$322
2022-06-30,$223
2022-03-31,$70
2021-12-31,$526
2021-09-30,$431
2021-06-30,$316
2021-03-31,$57
2020-12-31,$252
2020-09-30,$91
2020-06-30,$260
2020-03-31,$308
2019-12-31,$289
2019-09-30,$266
2019-06-30,$308
2019-03-31,$104
2018-12-31,$116
2018-09-30,$214
2018-06-30,$113
2018-03-31,$211
2017-12-31,$125
2017-09-30,$137
2017-06-30,$195
2017-03-31,$143
2016-12-31,$276
2016-09-30,$208
2016-06-30,$218
2016-03-31,"$3,587"
2015-12-31,$203
2015-09-30,$196
2015-06-30,$286
2015-03-31,$179
2014-12-31,$217
2014-09-30,$221
2014-06-30,$112
2014-03-31,$78
2013-12-31,$110
2013-09-30,$376
2013-06-30,$324
2013-03-31,"$1,017"
2012-12-31,$366
2012-09-30,$219
2012-06-30,$100
2012-03-31,$142
2011-12-31,$99
2011-09-30,$104
2011-06-30,$552
2011-03-31,$124
2010-12-31,$186
2010-09-30,$25
2010-06-30,$6
2010-03-31,$52
2009-12-31,$42
2009-09-30,$132
2009-06-30,$97
2009-03-31,$77
