Zuora Quarterly Net Income (Millions of US $),Zuora Quarterly Net Income (Millions of US $).1
2024-07-31,$-7
2024-04-30,$-14
2024-01-31,$-21
2023-10-31,$-6
2023-07-31,$-23
2023-04-30,$-19
2023-01-31,$-108
2022-10-31,$-37
2022-07-31,$-30
2022-04-30,$-23
2022-01-31,$-35
2021-10-31,$-23
2021-07-31,$-24
2021-04-30,$-18
2021-01-31,$-19
2020-10-31,$-17
2020-07-31,$-20
2020-04-30,$-17
2020-01-31,$-24
2019-10-31,$-18
2019-07-31,$-21
2019-04-30,$-21
2019-01-31,$-19
2018-10-31,$-17
2018-07-31,$-19
2018-04-30,$-18
2018-01-31,$-6
2017-10-31,$-10
2017-07-31,$-15
2017-04-30,$-8
2017-01-31,
2016-01-31,
