Ingles Markets Quarterly Net Income (Millions of US $),Ingles Markets Quarterly Net Income (Millions of US $).1
2024-06-30,$32
2024-03-31,$32
2023-12-31,$43
2023-09-30,$53
2023-06-30,$48
2023-03-31,$41
2022-12-31,$69
2022-09-30,$70
2022-06-30,$68
2022-03-31,$69
2021-12-31,$66
2021-09-30,$72
2021-06-30,$72
2021-03-31,$52
2020-12-31,$54
2020-09-30,$58
2020-06-30,$63
2020-03-31,$40
2019-12-31,$18
2019-09-30,$21
2019-06-30,$24
2019-03-31,$15
2018-12-31,$22
2018-09-30,$18
2018-06-30,$24
2018-03-31,$9
2017-12-31,$45
2017-09-30,$19
2017-06-30,$12
2017-03-31,$9
2016-12-31,$14
2016-09-30,$14
2016-06-30,$13
2016-03-31,$14
2015-12-31,$13
2015-09-30,$16
2015-06-30,$14
2015-03-31,$14
2014-12-31,$15
2014-09-30,$18
2014-06-30,$14
2014-03-31,$10
2013-12-31,$10
2013-09-30,$16
2013-06-30,$-14
2013-03-31,$8
2012-12-31,$12
2012-09-30,$13
2012-06-30,$13
2012-03-31,$7
2011-12-31,$11
2011-09-30,$11
2011-06-30,$13
2011-03-31,$8
2010-12-31,$8
2010-09-30,$8
2010-06-30,$11
2010-03-31,$6
2009-12-31,$6
2009-09-30,$4
2009-06-30,$5
2009-03-31,$8
