Helen Of Troy Quarterly Net Income (Millions of US $),Helen Of Troy Quarterly Net Income (Millions of US $).1
2024-08-31,$17
2024-05-31,$6
2024-02-29,$43
2023-11-30,$76
2023-08-31,$27
2023-05-31,$23
2023-02-28,$36
2022-11-30,$52
2022-08-31,$31
2022-05-31,$25
2022-02-28,$40
2021-11-30,$76
2021-08-31,$51
2021-05-31,$57
2021-02-28,$22
2020-11-30,$84
2020-08-31,$87
2020-05-31,$60
2020-02-29,$-3
2019-11-30,$69
2019-08-31,$46
2019-05-31,$41
2019-02-28,$37
2018-11-30,$49
2018-08-31,$44
2018-05-31,$38
2018-02-28,$60
2017-11-30,$-30
2017-08-31,$9
2017-05-31,$6
2017-02-28,$36
2016-11-30,$58
2016-08-31,$28
2016-05-31,$19
2016-02-29,$10
2015-11-30,$47
2015-08-31,$24
2015-05-31,$20
2015-02-28,$41
2014-11-30,$55
2014-08-31,$19
2014-05-31,$16
2014-02-28,$11
2013-11-30,$38
2013-08-31,$23
2013-05-31,$14
2013-02-28,$32
2012-11-30,$38
2012-08-31,$23
2012-05-31,$23
2012-02-29,$29
2011-11-30,$33
2011-08-31,$24
2011-05-31,$25
2011-02-28,$24
2010-11-30,$27
2010-08-31,$23
2010-05-31,$18
2010-02-28,$17
2009-11-30,$25
2009-08-31,$16
2009-05-31,$15
2009-02-28,$-88
