Pacific Premier Bancorp Inc Quarterly Net Income (Millions of US $),Pacific Premier Bancorp Inc Quarterly Net Income (Millions of US $).1
2024-06-30,$42
2024-03-31,$47
2023-12-31,$-135
2023-09-30,$46
2023-06-30,$58
2023-03-31,$63
2022-12-31,$74
2022-09-30,$73
2022-06-30,$70
2022-03-31,$67
2021-12-31,$85
2021-09-30,$90
2021-06-30,$96
2021-03-31,$69
2020-12-31,$67
2020-09-30,$67
2020-06-30,$-99
2020-03-31,$26
2019-12-31,$41
2019-09-30,$41
2019-06-30,$39
2019-03-31,$39
2018-12-31,$40
2018-09-30,$28
2018-06-30,$27
2018-03-31,$28
2017-12-31,$16
2017-09-30,$20
2017-06-30,$14
2017-03-31,$10
2016-12-31,$12
2016-09-30,$9
2016-06-30,$10
2016-03-31,$9
2015-12-31,$8
2015-09-30,$8
2015-06-30,$8
2015-03-31,$2
2014-12-31,$4
2014-09-30,$5
2014-06-30,$5
2014-03-31,$3
2013-12-31,$4
2013-09-30,$3
2013-06-30,$-0
2013-03-31,$2
2012-12-31,$4
2012-09-30,$3
2012-06-30,$6
2012-03-31,$3
2011-12-31,$3
2011-09-30,$2
2011-06-30,$1
2011-03-31,$5
2010-12-31,$2
2010-09-30,$2
2010-06-30,$0
2010-03-31,$0
2009-12-31,$-0
2009-09-30,$-0
2009-06-30,$-1
2009-03-31,$1
