Blue Owl Capital Quarterly Net Income (Millions of US $),Blue Owl Capital Quarterly Net Income (Millions of US $).1
2024-06-30,$122
2024-03-31,$183
2023-12-31,$189
2023-09-30,$207
2023-06-30,$196
2023-03-31,$202
2022-12-31,$192
2022-09-30,$265
2022-06-30,$-35
2022-03-31,$44
2021-12-31,$174
2021-09-30,$143
2021-06-30,$150
2021-03-31,$158
2020-12-31,$181
2020-09-30,$216
2020-06-30,$304
2020-03-31,$-313
2019-12-31,$140
2019-09-30,$119
2019-06-30,$125
2019-03-31,$114
2018-12-31,$35
2018-09-30,$72
2018-06-30,$51
2018-03-31,$44
2017-12-31,$38
2017-09-30,$27
2017-06-30,$20
2017-03-31,$18
2016-12-31,$13
2016-09-30,$8
2016-06-30,$-2
2016-03-31,$-2
