LG Display Quarterly Net Income (Millions of US $),LG Display Quarterly Net Income (Millions of US $).1
2024-06-30,$-355
2024-03-31,$-627
2023-12-31,$47
2023-09-30,$-576
2023-06-30,$-687
2023-03-31,$-971
2022-12-31,"$-1,290"
2022-09-30,$-553
2022-06-30,$-324
2022-03-31,$16
2021-12-31,$200
2021-09-30,$336
2021-06-30,$327
2021-03-31,$205
2020-12-31,$455
2020-09-30,$24
2020-06-30,$-391
2020-03-31,$-159
2019-12-31,"$-1,380"
2019-09-30,$-335
2019-06-30,$-494
2019-03-31,$-55
2018-12-31,$129
2018-09-30,$3
2018-06-30,$-268
2018-03-31,$-54
2017-12-31,$6
2017-09-30,$398
2017-06-30,$621
2017-03-31,$570
2016-12-31,$718
2016-09-30,$160
2016-06-30,$-64
2016-03-31,$2
2015-12-31,$-13
2015-09-30,$178
2015-06-30,$301
2015-03-31,$412
2014-12-31,$376
2014-09-30,$336
2014-06-30,$251
2014-03-31,$-72
2013-12-31,$67
2013-09-30,$220
2013-06-30,$95
2013-03-31,$4
2012-12-31,$280
2012-09-30,$141
2012-06-30,$-98
2012-03-31,$-114
2011-12-31,$-6
2011-09-30,$-639
2011-06-30,$23
2011-03-31,$-103
2010-12-31,$-243
2010-09-30,$189
2010-06-30,$499
2010-03-31,$571
2009-12-31,$406
2009-09-30,$458
2009-06-30,$236
2009-03-31,$-178
