Ziff Davis Quarterly Net Income (Millions of US $),Ziff Davis Quarterly Net Income (Millions of US $).1
2024-06-30,$37
2024-03-31,$11
2023-12-31,$63
2023-09-30,$-31
2023-06-30,$17
2023-03-31,$-8
2022-12-31,$67
2022-09-30,$18
2022-06-30,$-46
2022-03-31,$25
2021-12-31,$361
2021-09-30,$43
2021-06-30,$16
2021-03-31,$78
2020-12-31,$58
2020-09-30,$61
2020-06-30,$38
2020-03-31,$-6
2019-12-31,$124
2019-09-30,$30
2019-06-30,$33
2019-03-31,$32
2018-12-31,$49
2018-09-30,$30
2018-06-30,$28
2018-03-31,$19
2017-12-31,$48
2017-09-30,$32
2017-06-30,$31
2017-03-31,$26
2016-12-31,$45
2016-09-30,$45
2016-06-30,$33
2016-03-31,$30
2015-12-31,$37
2015-09-30,$37
2015-06-30,$38
2015-03-31,$22
2014-12-31,$34
2014-09-30,$28
2014-06-30,$34
2014-03-31,$28
2013-12-31,$20
2013-09-30,$27
2013-06-30,$35
2013-03-31,$23
2012-12-31,$29
2012-09-30,$32
2012-06-30,$31
2012-03-31,$28
2011-12-31,$28
2011-09-30,$25
2011-06-30,$29
2011-03-31,$31
2010-12-31,$27
2010-09-30,$20
2010-06-30,$19
2010-03-31,$18
2009-12-31,$18
2009-09-30,$19
2009-06-30,$11
2009-03-31,$19
