TransAlta Quarterly Net Income (Millions of US $),TransAlta Quarterly Net Income (Millions of US $).1
2024-06-30,$41
2024-03-31,$165
2023-12-31,$-64
2023-09-30,$277
2023-06-30,$46
2023-03-31,$217
2022-12-31,$-128
2022-09-30,$47
2022-06-30,$-63
2022-03-31,$147
2021-12-31,$-64
2021-09-30,$-362
2021-06-30,$-10
2021-03-31,$-24
2020-12-31,$-126
2020-09-30,$-102
2020-06-30,$-43
2020-03-31,$20
2019-12-31,$49
2019-09-30,$39
2019-06-30,$0
2019-03-31,$-49
2018-12-31,$-96
2018-09-30,$-66
2018-06-30,$-81
2018-03-31,$51
2017-12-31,$-112
2017-09-30,$-22
2017-06-30,$-13
2017-03-31,
2016-12-31,$48
2016-09-30,$-9
2016-06-30,$5
2016-03-31,$45
2015-12-31,$-5
2015-09-30,$118
2015-06-30,$-107
2015-03-31,$6
2014-12-31,$119
2014-09-30,$-5
2014-06-30,$-46
2014-03-31,$44
2013-12-31,$-60
2013-09-30,$-9
2013-06-30,$15
2013-03-31,$-2
2012-12-31,$37
2012-09-30,$64
2012-06-30,$-794
2012-03-31,$97
2011-12-31,$28
2011-09-30,$50
2011-06-30,$13
2011-03-31,$79
2010-12-31,$61
2010-09-30,$37
2010-06-30,$51
2010-03-31,$67
2009-12-31,$75
2009-09-30,$60
2009-06-30,$-6
2009-03-31,$35
