Avis Budget Quarterly Net Income (Millions of US $),Avis Budget Quarterly Net Income (Millions of US $).1
2024-06-30,$14
2024-03-31,$-114
2023-12-31,$259
2023-09-30,$626
2023-06-30,$435
2023-03-31,$312
2022-12-31,$423
2022-09-30,"$1,034"
2022-06-30,$778
2022-03-31,$529
2021-12-31,$382
2021-09-30,$675
2021-06-30,$398
2021-03-31,$-170
2020-12-31,$-90
2020-09-30,$45
2020-06-30,$-481
2020-03-31,$-158
2019-12-31,$142
2019-09-30,$189
2019-06-30,$62
2019-03-31,$-91
2018-12-31,$13
2018-09-30,$213
2018-06-30,$26
2018-03-31,$-87
2017-12-31,$220
2017-09-30,$245
2017-06-30,$3
2017-03-31,$-107
2016-12-31,$-31
2016-09-30,$209
2016-06-30,$36
2016-03-31,$-51
2015-12-31,$-5
2015-09-30,$184
2015-06-30,$143
2015-03-31,$-9
2014-12-31,$23
2014-09-30,$192
2014-06-30,$26
2014-03-31,$4
2013-12-31,$-28
2013-09-30,$118
2013-06-30,$-28
2013-03-31,$-46
2012-12-31,$-46
2012-09-30,$280
2012-06-30,$79
2012-03-31,$-23
2011-12-31,$-170
2011-09-30,$82
2011-06-30,$52
2011-03-31,$7
2010-12-31,$-24
2010-09-30,$90
2010-06-30,$26
2010-03-31,$-38
2009-12-31,$-49
2009-09-30,$57
2009-06-30,$-6
2009-03-31,$-49
