Delek US Holdings Quarterly Net Income (Millions of US $),Delek US Holdings Quarterly Net Income (Millions of US $).1
2024-06-30,$-37
2024-03-31,$-33
2023-12-31,$-165
2023-09-30,$129
2023-06-30,$-8
2023-03-31,$64
2022-12-31,$-119
2022-09-30,$7
2022-06-30,$362
2022-03-31,$7
2021-12-31,$-13
2021-09-30,$12
2021-06-30,$-57
2021-03-31,$-70
2020-12-31,$-297
2020-09-30,$-88
2020-06-30,$88
2020-03-31,$-314
2019-12-31,$33
2019-09-30,$51
2019-06-30,$77
2019-03-31,$149
2018-12-31,$122
2018-09-30,$180
2018-06-30,$79
2018-03-31,$-40
2017-12-31,$211
2017-09-30,$104
2017-06-30,$-38
2017-03-31,$11
2016-12-31,$44
2016-09-30,$-162
2016-06-30,$-7
2016-03-31,$-29
2015-12-31,$-32
2015-09-30,$19
2015-06-30,$48
2015-03-31,$-16
2014-12-31,$38
2014-09-30,$73
2014-06-30,$55
2014-03-31,$34
2013-12-31,$-5
2013-09-30,$-2
2013-06-30,$47
2013-03-31,$78
2012-12-31,$64
2012-09-30,$95
2012-06-30,$68
2012-03-31,$46
2011-12-31,$-6
2011-09-30,$85
2011-06-30,$62
2011-03-31,$17
2010-12-31,$-71
2010-09-30,$-10
2010-06-30,$15
2010-03-31,$-14
2009-12-31,$-21
2009-09-30,$-5
2009-06-30,$30
2009-03-31,$-3
