Banc Of California Quarterly Net Income (Millions of US $),Banc Of California Quarterly Net Income (Millions of US $).1
2024-06-30,$20
2024-03-31,$21
2023-12-31,$-569
2023-09-30,$43
2023-06-30,$-207
2023-03-31,"$-1,205"
2022-12-31,$303
2022-09-30,$24
2022-06-30,$27
2022-03-31,$43
2021-12-31,$550
2021-09-30,$21
2021-06-30,$17
2021-03-31,$8
2020-12-31,$18
2020-09-30,$12
2020-06-30,$-22
2020-03-31,$-10
2019-12-31,$11
2019-09-30,$-23
2019-06-30,$12
2019-03-31,$3
2018-12-31,$7
2018-09-30,$4
2018-06-30,$9
2018-03-31,$3
2017-12-31,$5
2017-09-30,$12
2017-06-30,$7
2017-03-31,$12
2016-12-31,$28
2016-09-30,$31
2016-06-30,$21
2016-03-31,$15
2015-12-31,$16
2015-09-30,$11
2015-06-30,$13
2015-03-31,$12
2014-12-31,$9
2014-09-30,$10
2014-06-30,$7
2014-03-31,$-0
2013-12-31,$2
2013-09-30,$-9
2013-06-30,$4
2013-03-31,$1
2012-12-31,$-4
2012-09-30,$9
2012-06-30,$-1
2012-03-31,$-0
2011-12-31,$-6
2011-09-30,$1
2011-06-30,$2
2011-03-31,$1
2010-12-31,$1
2010-09-30,$3
2010-06-30,$-3
2010-03-31,$1
2009-12-31,$-1
2009-09-30,$1
2009-06-30,$0
2009-03-31,$-3
