Towne Bank Quarterly Net Income (Millions of US $),Towne Bank Quarterly Net Income (Millions of US $).1
2024-06-30,$43
2024-03-31,$35
2023-12-31,$29
2023-09-30,$45
2023-06-30,$42
2023-03-31,$38
2022-12-31,$47
2022-09-30,$50
2022-06-30,$47
2022-03-31,$46
2021-12-31,$40
2021-09-30,$50
2021-06-30,$56
2021-03-31,$69
2020-12-31,$50
2020-09-30,$34
2020-06-30,$35
2020-03-31,$26
2019-12-31,$35
2019-09-30,$38
2019-06-30,$35
2019-03-31,$31
2018-12-31,$36
2018-09-30,$38
2018-06-30,$35
2018-03-31,$25
2017-12-31,$12
2017-09-30,$27
2017-06-30,$26
2017-03-31,$22
2016-12-31,$19
2016-09-30,$24
2016-06-30,$6
2016-03-31,$18
2015-12-31,$12
2015-09-30,$18
2015-06-30,$18
2015-03-31,$15
2014-12-31,$7
2014-09-30,$12
2014-06-30,$12
2014-03-31,$11
2013-12-31,$10
2013-09-30,$10
2013-06-30,$11
2013-03-31,$10
2012-12-31,$10
2012-09-30,$9
2012-06-30,$10
2012-03-31,$9
2011-12-31,$9
2011-09-30,$9
2011-06-30,$8
2011-03-31,$8
2010-12-31,$8
2010-09-30,$8
2010-06-30,$7
2010-03-31,$8
2009-12-31,$7
2009-09-30,$7
2009-06-30,$6
2009-03-31,$7
