Kinder Morgan Quarterly Net Income (Millions of US $),Kinder Morgan Quarterly Net Income (Millions of US $).1
2024-06-30,$575
2024-03-31,$746
2023-12-31,$598
2023-09-30,$528
2023-06-30,$586
2023-03-31,$679
2022-12-31,$674
2022-09-30,$572
2022-06-30,$635
2022-03-31,$667
2021-12-31,$637
2021-09-30,$495
2021-06-30,$-757
2021-03-31,"$1,409"
2020-12-31,$616
2020-09-30,$452
2020-06-30,$-640
2020-03-31,$-309
2019-12-31,$616
2019-09-30,$506
2019-06-30,$515
2019-03-31,$553
2018-12-31,$483
2018-09-30,$693
2018-06-30,$-180
2018-03-31,$485
2017-12-31,"$-1,045"
2017-09-30,$334
2017-06-30,$337
2017-03-31,$401
2016-12-31,$170
2016-09-30,$-227
2016-06-30,$333
2016-03-31,$276
2015-12-31,$-721
2015-09-30,$186
2015-06-30,$333
2015-03-31,$429
2014-12-31,$126
2014-09-30,$329
2014-06-30,$284
2014-03-31,$287
2013-12-31,$338
2013-09-30,$286
2013-06-30,$277
2013-03-31,$292
2012-12-31,$220
2012-09-30,$200
2012-06-30,$-126
2012-03-31,$21
2011-12-31,$155
2011-09-30,$152
2011-06-30,$132
2011-03-31,$155
2010-12-31,$63
2010-09-30,$11
2010-06-30,$46
2010-03-31,$-161
2009-12-31,
