SBA Communications Quarterly Net Income (Millions of US $),SBA Communications Quarterly Net Income (Millions of US $).1
2024-06-30,$163
2024-03-31,$155
2023-12-31,$110
2023-09-30,$87
2023-06-30,$204
2023-03-31,$101
2022-12-31,$103
2022-09-30,$100
2022-06-30,$70
2022-03-31,$189
2021-12-31,$49
2021-09-30,$48
2021-06-30,$153
2021-03-31,$-12
2020-12-31,$106
2020-09-30,$23
2020-06-30,$23
2020-03-31,$-127
2019-12-31,$67
2019-09-30,$22
2019-06-30,$32
2019-03-31,$26
2018-12-31,$57
2018-09-30,$16
2018-06-30,$-57
2018-03-31,$32
2017-12-31,$8
2017-09-30,$49
2017-06-30,$9
2017-03-31,$38
2016-12-31,$5
2016-09-30,$-15
2016-06-30,$33
2016-03-31,$54
2015-12-31,$31
2015-09-30,$-156
2015-06-30,$28
2015-03-31,$-79
2014-12-31,$0
2014-09-30,$-17
2014-06-30,$-9
2014-03-31,$1
2013-12-31,$-19
2013-09-30,$22
2013-06-30,$-36
2013-03-31,$-22
2012-12-31,$-52
2012-09-30,$-52
2012-06-30,$-53
2012-03-31,$-23
2011-12-31,$-29
2011-09-30,$-33
2011-06-30,$-30
2011-03-31,$-34
2010-12-31,$-39
2010-09-30,$-34
2010-06-30,$-84
2010-03-31,$-37
2009-12-31,$-44
2009-09-30,$-50
2009-06-30,$-29
2009-03-31,$-18
