Webster Financial Quarterly Net Income (Millions of US $),Webster Financial Quarterly Net Income (Millions of US $).1
2024-06-30,$177
2024-03-31,$210
2023-12-31,$183
2023-09-30,$222
2023-06-30,$231
2023-03-31,$215
2022-12-31,$241
2022-09-30,$230
2022-06-30,$178
2022-03-31,$-20
2021-12-31,$109
2021-09-30,$94
2021-06-30,$92
2021-03-31,$106
2020-12-31,$59
2020-09-30,$67
2020-06-30,$51
2020-03-31,$36
2019-12-31,$90
2019-09-30,$91
2019-06-30,$96
2019-03-31,$98
2018-12-31,$97
2018-09-30,$97
2018-06-30,$79
2018-03-31,$78
2017-12-31,$68
2017-09-30,$62
2017-06-30,$59
2017-03-31,$57
2016-12-31,$55
2016-09-30,$50
2016-06-30,$48
2016-03-31,$45
2015-12-31,$49
2015-09-30,$49
2015-06-30,$50
2015-03-31,$47
2014-12-31,$48
2014-09-30,$48
2014-06-30,$45
2014-03-31,$48
2013-12-31,$41
2013-09-30,$45
2013-06-30,$44
2013-03-31,$39
2012-12-31,$48
2012-09-30,$44
2012-06-30,$41
2012-03-31,$38
2011-12-31,$40
2011-09-30,$41
2011-06-30,$33
2011-03-31,$34
2010-12-31,$23
2010-09-30,$18
2010-06-30,$13
2010-03-31,$-6
2009-12-31,$-56
2009-09-30,$-26
2009-06-30,$17
2009-03-31,$-22
