Playa Hotels & Resorts Quarterly Net Income (Millions of US $),Playa Hotels & Resorts Quarterly Net Income (Millions of US $).1
2024-06-30,$13
2024-03-31,$54
2023-12-31,$1
2023-09-30,$-11
2023-06-30,$21
2023-03-31,$43
2022-12-31,$-14
2022-09-30,$-2
2022-06-30,$31
2022-03-31,$43
2021-12-31,$0
2021-09-30,$-12
2021-06-30,$-8
2021-03-31,$-70
2020-12-31,$-74
2020-09-30,$-79
2020-06-30,$-87
2020-03-31,$-23
2019-12-31,$-18
2019-09-30,$-30
2019-06-30,$1
2019-03-31,$43
2018-12-31,$-14
2018-09-30,$-5
2018-06-30,$17
2018-03-31,$22
2017-12-31,$-5
2017-09-30,$-6
2017-06-30,$-11
2017-03-31,$13
2016-12-31,$-25
2016-09-30,$-13
2016-06-30,$-1
2016-03-31,$14
2015-12-31,
2014-12-31,
