Monster Beverage Quarterly Net Income (Millions of US $),Monster Beverage Quarterly Net Income (Millions of US $).1
2024-06-30,$425
2024-03-31,$442
2023-12-31,$367
2023-09-30,$453
2023-06-30,$414
2023-03-31,$397
2022-12-31,$302
2022-09-30,$322
2022-06-30,$273
2022-03-31,$294
2021-12-31,$321
2021-09-30,$337
2021-06-30,$404
2021-03-31,$315
2020-12-31,$472
2020-09-30,$348
2020-06-30,$311
2020-03-31,$279
2019-12-31,$255
2019-09-30,$299
2019-06-30,$292
2019-03-31,$261
2018-12-31,$239
2018-09-30,$268
2018-06-30,$270
2018-03-31,$216
2017-12-31,$201
2017-09-30,$219
2017-06-30,$223
2017-03-31,$178
2016-12-31,$173
2016-09-30,$192
2016-06-30,$184
2016-03-31,$164
2015-12-31,$139
2015-09-30,$175
2015-06-30,$229
2015-03-31,$4
2014-12-31,$125
2014-09-30,$122
2014-06-30,$141
2014-03-31,$95
2013-12-31,$76
2013-09-30,$92
2013-06-30,$107
2013-03-31,$63
2012-12-31,$68
2012-09-30,$86
2012-06-30,$110
2012-03-31,$76
2011-12-31,$65
2011-09-30,$82
2011-06-30,$84
2011-03-31,$55
2010-12-31,$49
2010-09-30,$66
2010-06-30,$64
2010-03-31,$33
2009-12-31,$53
2009-09-30,$57
2009-06-30,$57
2009-03-31,$42
