Alliant Energy Quarterly Net Income (Millions of US $),Alliant Energy Quarterly Net Income (Millions of US $).1
2024-06-30,$87
2024-03-31,$158
2023-12-31,$121
2023-09-30,$259
2023-06-30,$160
2023-03-31,$163
2022-12-31,$108
2022-09-30,$227
2022-06-30,$159
2022-03-31,$192
2021-12-31,$88
2021-09-30,$256
2021-06-30,$144
2021-03-31,$171
2020-12-31,$64
2020-09-30,$246
2020-06-30,$134
2020-03-31,$170
2019-12-31,$111
2019-09-30,$226
2019-06-30,$95
2019-03-31,$125
2018-12-31,$85
2018-09-30,$206
2018-06-30,$100
2018-03-31,$121
2017-12-31,$94
2017-09-30,$169
2017-06-30,$94
2017-03-31,$100
2016-12-31,$63
2016-09-30,$128
2016-06-30,$84
2016-03-31,$97
2015-12-31,$34
2015-09-30,$180
2015-06-30,$68
2015-03-31,$97
2014-12-31,$60
2014-09-30,$153
2014-06-30,$62
2014-03-31,$108
2013-12-31,$66
2013-09-30,$158
2013-06-30,$65
2013-03-31,$70
2012-12-31,$68
2012-09-30,$151
2012-06-30,$66
2012-03-31,$35
2011-12-31,$57
2011-09-30,$122
2011-06-30,$51
2011-03-31,$74
2010-12-31,$47
2010-09-30,$149
2010-06-30,$48
2010-03-31,$43
2009-12-31,$54
2009-09-30,$-44
2009-06-30,$29
2009-03-31,$73
