Tenaris S.A Quarterly Net Income (Millions of US $),Tenaris S.A Quarterly Net Income (Millions of US $).1
2024-06-30,$335
2024-03-31,$737
2023-12-31,"$1,129"
2023-09-30,$537
2023-06-30,"$1,123"
2023-03-31,"$1,129"
2022-12-31,$807
2022-09-30,$606
2022-06-30,$637
2022-03-31,$503
2021-12-31,$370
2021-09-30,$330
2021-06-30,$294
2021-03-31,$106
2020-12-31,$107
2020-09-30,$-33
2020-06-30,$-48
2020-03-31,$-660
2019-12-31,$152
2019-09-30,$107
2019-06-30,$241
2019-03-31,$243
2018-12-31,$226
2018-09-30,$247
2018-06-30,$168
2018-03-31,$235
2017-12-31,$160
2017-09-30,$105
2017-06-30,$75
2017-03-31,$205
2016-12-31,$34
2016-09-30,$17
2016-06-30,$-13
2016-03-31,$18
2015-12-31,$-47
2015-09-30,$-355
2015-06-30,$66
2015-03-31,$222
2014-12-31,$195
2014-09-30,$318
2014-06-30,$408
2014-03-31,$423
2013-12-31,$409
2013-09-30,$300
2013-06-30,$418
2013-03-31,$425
2012-12-31,$358
2012-09-30,$436
2012-06-30,$461
2012-03-31,$444
2011-12-31,$400
2011-09-30,$366
2011-06-30,$287
2011-03-31,$319
2010-12-31,$321
2010-09-30,$303
2010-06-30,$295
2010-03-31,$220
2009-12-31,$241
2009-09-30,$237
2009-06-30,$336
2009-03-31,$393
